,date,source,profit_0_day,profit_4-7
0,2019-09-25,3102021.0,1.6,1.9
1,2019-09-29,16701.0,11.5,5.0
2,2019-10-03,16701.0,48.85,13.85
3,2019-10-04,16701.0,79.35,11.15
4,2019-10-06,16701.0,75.15,8.8
5,2019-10-06,24941.0,17.0,2.0
6,2019-10-07,16701.0,32.5,2.0
7,2019-10-07,31044.0,39.95,1.7
8,2019-10-08,16701.0,44.4,18.1
9,2019-10-09,16701.0,86.35,12.6
10,2019-10-09,26806.0,5.7,1.6
11,2019-10-10,16701.0,89.8,8.5
12,2019-10-11,16701.0,56.2,5.8
13,2019-10-13,32616.0,21.6,5.7
14,2019-10-14,16701.0,32.4,9.85
15,2019-10-17,16701.0,91.75,9.6
16,2019-10-18,1174.0,17.85,1.7
17,2019-10-20,31044.0,110.1,6.1
18,2019-10-21,31044.0,114.9,12.0
19,2019-10-23,32059.0,1.7,1.9
20,2019-11-05,29790.0,16.4,1.7
21,2019-11-06,30697.0,44.85,3.0
22,2019-11-14,28942.0,74.85,1.9
23,2019-11-16,13125.0,398.4,16.95
24,2019-11-17,30697.0,110.65,18.0
25,2019-11-18,13125.0,296.7,27.45
26,2019-11-20,13125.0,203.7,6.0
27,2019-11-21,13125.0,328.8,30.7
28,2019-11-24,13125.0,257.79,12.0
29,2019-11-24,310.0,0.05,3.0
30,2019-11-25,13125.0,207.05,14.5
31,2019-11-25,3102021.0,3.6,2.0
32,2019-11-26,13125.0,380.0,36.25
33,2019-09-30,13125.0,10.4,4.7
34,2019-10-03,310.0,10.85,7.95
35,2019-10-04,24941.0,12.3,3.7
36,2019-10-09,31044.0,39.4,3.0
37,2019-10-10,31044.0,59.25,1.6
38,2019-10-12,16701.0,60.0,8.9
39,2019-10-12,310.0,1.7,1.9
40,2019-10-13,16701.0,71.65,7.9
41,2019-10-15,16701.0,72.55,6.7
42,2019-10-15,24941.0,12.3,1.9
43,2019-10-21,3102021.0,13.6,3.0
44,2019-10-23,25445.0,34.3,12.25
45,2019-10-24,1174.0,11.7,3.7
46,2019-10-25,24941.0,27.8,1.9
47,2019-11-03,16675.0,36.15,4.4
48,2019-11-03,24941.0,25.45,1.7
49,2019-11-05,30697.0,13.0,4.0
50,2019-11-11,13125.0,208.05,5.0
51,2019-11-12,13125.0,202.1,11.6
52,2019-11-14,13125.0,236.1,11.0
53,2019-11-14,3102021.0,3.0,1.9
54,2019-11-16,30697.0,98.9,7.95
55,2019-11-17,13125.0,300.1,10.25
56,2019-11-17,310.0,10.25,1.7
57,2019-11-19,13125.0,248.95,8.5
58,2019-11-21,18001.0,25.95,7.75
59,2019-11-21,28942.0,15.9,4.25
60,2019-11-22,13125.0,171.95,14.5
61,2019-11-23,13125.0,305.75,15.0
62,2019-11-27,13125.0,447.83,14.5
63,2019-09-08,310.0,5.3,5.1
64,2019-09-30,16701.0,20.7,3.7
65,2019-09-30,26806.0,3.0,1.7
66,2019-10-08,31044.0,45.3,4.3
67,2019-10-12,31044.0,40.65,1.9
68,2019-10-14,26806.0,6.9,1.7
69,2019-10-14,31044.0,65.0,1.7
70,2019-10-16,16701.0,102.05,7.9
